rpa;tipo_cod;tipo;cod_escola;escola;inep;rua;numero;cod_bairro;bairro;metragem;qtd_alunos;qtd_turmas;qtd_professores;escola_climatizada;data_visita;quadra_coberta;quadra_descoberta;biblioteca;sala_recurso;gestor;longitude;latitude
1;1;ESCOLA MUNICIPAL;090;ALMIRANTE SOARES DUTRA;26120658;CAMUTANGA;180;51;CABANGA;764,3;403;18;11;SIM;27/2/2018;NÃO;NÃO;SIM;SIM;VERONICA MARIA LIMA;-34.89535;-8.07895
1;1;ESCOLA MUNICIPAL;289;CIDADAO HERBERT DE SOUZA;26121972;ARNOBIO MARQUES;310;108;SANTO AMARO;206;175;14;13;NÂO;;NÃO;NÃO;NÃO;SIM;ANA CLAUDIA DO NASCIMENTO SILVA;-34.88707;-8.04576
1;1;ESCOLA MUNICIPAL;256;DO COQUE;26122898;MIRANDOPOLIS;35;43;ILHA JOANA BEZERRA;840,5;619;26;20;NÂO;;NÃO;NÃO;SIM;SIM;GRIJALBA MARIA PESSOA;-34.90022;-8.07145
1;1;ESCOLA MUNICIPAL;091;DOS COELHOS;26118670;DOS COELHOS;591;60;COELHOS;1322;775;36;26;NÂO;;NÃO;NÃO;SIM;SIM;FRANCISCA ANGELA DA SILVA;-34.89097;-8.06876
1;1;ESCOLA MUNICIPAL;384;FREI TADEU GLASER;26175347;AGAMENON MAGALHAES;600;108;SANTO AMARO;398,4;139;10;8;NÂO;19/4/2017;NÃO;NÃO;SIM;SIM;CHRISTIANNE MARIA DOS SANTOS CAVALCANTI;-34.87818;-8.04006
1;1;ESCOLA MUNICIPAL;104;GENERAL EMIDIO DANTAS BARRETO;26121980;DA SAUDADE;303;108;SANTO AMARO;1402,1;278;18;13;NÂO;;NÃO;SIM;SIM;SIM;REJANE MOURA DE MATOS NOVAIS ROCHA;-34.88342;-8.05086
1;1;ESCOLA MUNICIPAL;282;LUTADORES DO BEM;26121913;CORONEL VIRGILIO DE MEDEIROS;269;108;SANTO AMARO;455,2;309;16;14;NÂO;;NÃO;NÃO;SIM;SIM;JOSANE PATRICIO SALDANHA;-34.87718;-8.04397
1;1;ESCOLA MUNICIPAL;312;NOSSA SENHORA DO PILAR;26147300;ALFREDO LISBOA;S/N;19;RECIFE;712,3;181;11;10;NÂO;;NÃO;SIM;SIM;SIM;RENATA ROSSY NOBLAT FRAGA;-34.86983;-8.05794
1;1;ESCOLA MUNICIPAL;922;NOVO MANGUE;26158400;AVENIDA CENTRAL;511;43;ILHA JOANA BEZERRA;1010,7;361;18;12;NÂO;;NÃO;SIM;SIM;SIM;RAIMUNDA PINHEIRO DE QUEIROZ;-34.90358;-8.0751
1;1;ESCOLA MUNICIPAL;066;PEDRO AUGUSTO;26121468;BARAO DE SAO BORJA;279;86;BOA VISTA;2245,5;353;13;13;SIM;;SIM;NÃO;SIM;SIM;JOSENIDE MATIAS PINHEIRO DE FREITAS;-34.89012;-8.0605
1;1;ESCOLA MUNICIPAL;004;PROFESSOR JOSE DA COSTA PORTO;26121255;CABO EUTROPIO;660;43;ILHA JOANA BEZERRA;1454,4;834;35;30;NÂO;6/6/2017;SIM;NÃO;SIM;SIM;SELME DE FIGUEIROA FARIA;-34.90061;-8.07192
1;1;ESCOLA MUNICIPAL;935;PROFESSOR JOSUE DE CASTRO;26167891;MARTIN LUTHER KING;368;43;ILHA JOANA BEZERRA;388;260;14;11;NÂO;;NÃO;NÃO;NÃO;NÃO;MARCIA CLAUDIA MATIAS DA SILVA;-34.89907;-8.06952
1;1;ESCOLA MUNICIPAL;001;REITOR JOAO ALFREDO;26121786;SENADOR JOSE HENRIQUE;160;78;ILHA DO LEITE;1832;331;13;12;NÂO;;SIM;NÃO;SIM;SIM;MARILIA OLIVEIRA SILVA;-34.89518;-8.06503
